g,age,ex,chart_floor_threshold,chart_floor_pts,last2_slope_pts_per_unit,lin_slope_last5,lin_intercept_last5,t_at_zero_pts_extrap,dist_floor_to_zero
M,35-39,situps,27,2.5,0.5,0.4999999999999991,-10.999999999999979,21.999999999999996,-5.0000000000000036
M,35-39,clrc,29,2.5,0.5,0.49999999999999817,-11.999999999999945,23.99999999999998,-5.000000000000021
M,35-39,plank,80,2.5,0.1,0.10000000000000006,-5.500000000000006,55.00000000000003,-24.99999999999997
M,40-44,run,1324,35.0,-0.020833333333333332,-0.02083333333333333,62.583333333333314,3003.9999999999995,1679.9999999999995
M,40-44,hamr,32,35.0,0.25,0.2910958904109588,25.63698630136988,-88.07058823529421,-120.07058823529421
M,40-44,pushups,21,2.5,0.5,0.4054054054054045,-5.905405405405386,14.56666666666665,-6.43333333333335
M,40-44,hrpu,19,2.5,0.5,0.5000000000000009,-7.000000000000017,14.000000000000009,-4.999999999999991
M,40-44,situps,25,2.5,0.5,0.5000000000000004,-10.000000000000007,19.999999999999996,-5.0000000000000036
M,40-44,clrc,27,2.5,0.5,0.4999999999999991,-10.999999999999979,21.999999999999996,-5.0000000000000036
M,40-44,plank,75,2.5,0.1,0.09999999999999998,-4.999999999999997,49.999999999999986,-25.000000000000014
M,45-49,run,1347,35.0,-0.020833333333333332,-0.021006919926564064,63.292190368592024,3012.9210084033593,1665.9210084033593
M,45-49,hamr,31,35.0,0.5,0.30769230769230843,25.538461538461533,-82.99999999999979,-113.99999999999979
M,45-49,pushups,19,2.5,0.25,0.4054054054054064,-5.3378378378378555,13.166666666666677,-5.833333333333323
M,45-49,hrpu,17,2.5,0.5,0.49999999999999983,-5.999999999999997,11.999999999999998,-5.000000000000002
M,45-49,situps,23,2.5,0.5,0.4999999999999996,-8.999999999999991,17.999999999999996,-5.0000000000000036
M,45-49,clrc,25,2.5,0.5,0.5000000000000004,-10.000000000000007,19.999999999999996,-5.0000000000000036
M,45-49,plank,70,2.5,0.1,0.09999999999999995,-4.4999999999999964,44.999999999999986,-25.000000000000014
M,50-54,run,1370,35.0,-0.021739130434782608,-0.021739130434782726,64.78260869565233,2979.999999999991,1609.999999999991
M,50-54,hamr,30,35.0,0.5,0.37790697674418416,23.755813953488424,-62.86153846153891,-92.86153846153891
M,50-54,pushups,17,2.5,0.5,0.49999999999999983,-5.999999999999997,11.999999999999998,-5.000000000000002
M,50-54,hrpu,15,2.5,0.5,0.5000000000000004,-5.0000000000000036,9.999999999999998,-5.000000000000002
M,50-54,situps,21,2.5,0.5,0.4999999999999994,-7.999999999999986,15.999999999999991,-5.000000000000009
M,50-54,clrc,23,2.5,0.5,0.4999999999999996,-8.999999999999991,17.999999999999996,-5.0000000000000036
M,50-54,plank,65,2.5,0.1,0.10000000000000003,-4.0,39.999999999999986,-25.000000000000014
M,55-59,run,1416,35.0,-0.020833333333333332,-0.020407143333111298,63.900646365029786,3131.2881632652998,1715.2881632652998
M,55-59,hamr,27,35.0,0.5,0.32894736842105105,26.19736842105266,-79.64000000000047,-106.64000000000047
M,55-59,pushups,14,2.5,0.5,0.4999999999999996,-4.499999999999995,8.999999999999996,-5.0000000000000036
M,55-59,hrpu,13,2.5,0.5,0.49999999999999956,-3.9999999999999942,7.999999999999996,-5.000000000000004
M,55-59,situps,19,2.5,0.5,0.5000000000000009,-7.000000000000017,14.000000000000009,-4.999999999999991
M,55-59,clrc,21,2.5,0.5,0.4999999999999994,-7.999999999999986,15.999999999999991,-5.000000000000009
M,55-59,plank,60,2.5,0.1,0.10000000000000017,-3.5000000000000093,35.000000000000036,-24.999999999999964
M,60+,run,1440,35.0,-0.023809523809523808,-0.019483568075117214,63.12112676056314,3239.710843373508,1799.710843373508
M,60+,hamr,26,35.0,0.5,0.37790697674418583,25.26744186046511,-66.86153846153849,-92.86153846153849
M,60+,pushups,12,2.5,0.5,0.5000000000000009,-3.5000000000000093,7.000000000000006,-4.999999999999994
M,60+,hrpu,11,2.5,0.5,0.4999999999999983,-2.999999999999982,5.999999999999984,-5.000000000000016
M,60+,situps,17,2.5,0.5,0.49999999999999983,-5.999999999999997,11.999999999999998,-5.000000000000002
M,60+,clrc,19,2.5,0.5,0.5000000000000009,-7.000000000000017,14.000000000000009,-4.999999999999991
M,60+,plank,55,2.5,0.1,0.09999999999999969,-2.999999999999983,29.999999999999925,-25.000000000000075
F,<25,run,1523,35.0,-0.016666666666666666,-0.016834444293293525,60.6388926676644,3602.072727272715,2079.072727272715
F,<25,hamr,21,35.0,0.25,0.29109589041095946,28.89726027397259,-99.27058823529389,-120.27058823529389
F,<25,pushups,15,2.5,0.5,0.32894736842105177,-2.355263157894725,7.159999999999983,-7.840000000000017
F,<25,hrpu,17,2.5,0.5,0.49999999999999983,-5.999999999999997,11.999999999999998,-5.000000000000002
F,<25,situps,29,2.5,0.5,0.49999999999999817,-11.999999999999945,23.99999999999998,-5.000000000000021
F,<25,clrc,33,2.5,0.5,0.5000000000000023,-14.000000000000075,28.000000000000018,-4.999999999999982
F,<25,plank,90,2.5,0.1,0.10000000000000013,-6.500000000000009,65.0,-25.0
F,25-29,run,1540,35.0,-0.017241379310344827,-0.01706425010483164,61.28239295531854,3591.2737201365094,2051.2737201365094
F,25-29,hamr,20,35.0,0.25,0.3289473684210528,28.36842105263157,-86.23999999999992,-106.23999999999992
F,25-29,pushups,14,2.5,0.5,0.37790697674418566,-2.7732558139534826,7.338461538461531,-6.661538461538469
F,25-29,hrpu,15,2.5,0.5,0.5000000000000004,-5.0000000000000036,9.999999999999998,-5.000000000000002
F,25-29,situps,25,2.5,0.5,0.5000000000000004,-10.000000000000007,19.999999999999996,-5.0000000000000036
F,25-29,clrc,31,2.5,0.5,0.4999999999999997,-12.999999999999993,26.0,-5.0
F,25-29,plank,85,2.5,0.1,0.09999999999999994,-5.999999999999995,59.999999999999986,-25.000000000000014
F,30-34,run,1575,35.0,-0.016666666666666666,-0.01650111096588688,60.992582668932265,3696.2712871287035,2121.2712871287035
F,30-34,hamr,19,35.0,0.5,0.32894736842104966,28.8289473684211,-87.64000000000094,-106.64000000000094
F,30-34,pushups,12,2.5,0.25,0.40540540540540515,-2.4999999999999982,6.166666666666666,-5.833333333333334
F,30-34,hrpu,13,2.5,0.5,0.49999999999999956,-3.9999999999999942,7.999999999999996,-5.000000000000004
F,30-34,situps,20,2.5,0.5,0.49999999999999933,-7.4999999999999885,14.999999999999996,-5.0000000000000036
F,30-34,clrc,29,2.5,0.5,0.49999999999999817,-11.999999999999945,23.99999999999998,-5.000000000000021
F,30-34,plank,80,2.5,0.1,0.10000000000000006,-5.500000000000006,55.00000000000003,-24.99999999999997
F,35-39,run,1590,35.0,-0.016129032258064516,-0.016129032258064675,60.64516129032283,3759.9999999999786,2169.9999999999786
F,35-39,hamr,18,35.0,0.25,0.3289473684210527,29.026315789473674,-88.23999999999995,-106.23999999999995
F,35-39,pushups,11,2.5,0.5,0.37790697674418633,-1.5639534883720954,4.1384615384615415,-6.8615384615384585
F,35-39,hrpu,11,2.5,0.5,0.4999999999999983,-2.999999999999982,5.999999999999984,-5.000000000000016
F,35-39,situps,18,2.5,0.5,0.5000000000000007,-6.500000000000009,13.0,-5.0
F,35-39,clrc,27,2.5,0.5,0.4999999999999991,-10.999999999999979,21.999999999999996,-5.0000000000000036
F,35-39,plank,75,2.5,0.1,0.09999999999999998,-4.999999999999997,49.999999999999986,-25.000000000000014
F,40-44,run,1612,35.0,-0.016666666666666666,-0.016501110965886818,61.59982355247681,3733.0712871287124,2121.0712871287124
F,40-44,hamr,17,35.0,0.25,0.35000000000000253,28.99999999999994,-82.85714285714208,-99.85714285714208
F,40-44,pushups,10,2.5,0.5,0.4999999999999994,-2.499999999999992,4.99999999999999,-5.00000000000001
F,40-44,hrpu,9,2.5,0.5,0.5000000000000006,-2.0000000000000036,4.000000000000003,-4.999999999999997
F,40-44,situps,16,2.5,0.5,0.5,-5.5,11.0,-5.0
F,40-44,clrc,25,2.5,0.5,0.5000000000000004,-10.000000000000007,19.999999999999996,-5.0000000000000036
F,40-44,plank,70,2.5,0.1,0.09999999999999995,-4.4999999999999964,44.999999999999986,-25.000000000000014
F,45-49,run,1635,35.0,-0.016129032258064516,-0.01612903225806441,61.370967741935296,3805.000000000013,2170.000000000013
F,45-49,hamr,16,35.0,0.25,0.3499999999999989,29.350000000000023,-83.85714285714317,-99.85714285714317
F,45-49,pushups,8,2.5,0.5,0.5000000000000002,-1.5000000000000029,3.0000000000000044,-4.999999999999996
F,45-49,hrpu,7,2.5,0.5,0.5000000000000001,-1.0000000000000002,2.0,-5.0
F,45-49,situps,10,2.5,0.5,0.4999999999999994,-2.499999999999992,4.99999999999999,-5.00000000000001
F,45-49,clrc,23,2.5,0.5,0.4999999999999996,-8.999999999999991,17.999999999999996,-5.0000000000000036
F,45-49,plank,65,2.5,0.1,0.10000000000000003,-4.0,39.999999999999986,-25.000000000000014
F,50-54,run,1685,35.0,-0.015151515151515152,-0.01529009089888911,60.763831219840796,3974.0660550458565,2289.0660550458565
F,50-54,hamr,14,35.0,0.25,0.34999999999999987,30.050000000000008,-85.85714285714292,-99.85714285714292
F,50-54,pushups,7,2.5,0.5,0.5000000000000001,-1.0000000000000002,2.0,-5.0
F,50-54,hrpu,5,2.5,0.5,0.4999999999999993,3.773451912935854e-15,-7.54690382587172e-15,-5.000000000000007
F,50-54,situps,9,2.5,0.5,0.5000000000000006,-2.0000000000000036,4.000000000000003,-4.999999999999997
